,Index,State
0,0,Alabama
1,2,Arizona
2,3,Arkansas
3,4,California
4,5,Colorado
5,6,Connecticut
6,7,Delaware
7,8,Florida
8,9,Georgia
9,10,Hawaii
10,11,Idaho
11,12,Illinois
12,13,Indiana
13,14,Iowa
14,15,Kansas
15,16,Kentucky
16,17,Louisiana
17,18,Maine
18,19,Maryland
19,20,Massachusetts
20,21,Michigan
21,22,Minnesota
22,23,Mississippi
23,24,Missouri
24,25,Montana
25,26,Nebraska
26,27,Nevada
27,28,New Hampshire
28,29,New Jersey
29,30,New Mexico
30,31,New York
31,32,North Carolina
32,33,North Dakota
33,34,Ohio
34,35,Oklahoma
35,36,Oregon
36,37,Pennsylvania
37,38,Rhode Island
38,39,South Carolina
39,40,South Dakota
40,41,Tennessee
41,42,Texas
42,43,Utah
43,44,Vermont
44,45,Virginia
45,46,Washington
46,47,West Virginia
47,48,Wisconsin
48,49,Wyoming
